trialType,trial,purpleBet,response,betScaling,score,RT,nHits,pinkBet,exploded,confidence,ballColour,subjectID
trial,112,,1,,1600,1416.0999999999767,45,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,113,,2,,1550,1832.5999999999767,45,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,114,,2,,1500,549.5,45,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,115,,2,,1450,617.6000000000349,45,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,116,,2,,1400,649.0,45,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,117,,1,,1400,650.5999999999767,45,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,118,,1,,1500,2915.9000000000233,46,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,119,,1,,1600,1299.6999999999534,47,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,120,,1,,1550,1365.7999999999884,47,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,121,,2,,1500,632.4000000000233,47,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,122,,1,,1450,1233.2999999999884,47,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,123,,2,,1400,699.9000000000233,47,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,124,,2,,1350,583.5,47,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,125,,2,,1450,533.1000000000349,48,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,126,,1,,1450,1650.7999999999884,48,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,127,,2,,1450,984.0,48,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,128,,1,,1400,1965.7999999999884,48,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,129,,2,,1500,1816.5999999999767,49,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,130,,1,,1500,1599.2999999999884,49,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,131,,1,,1450,4132.699999999953,49,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,132,,2,,1550,567.6000000000349,50,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,133,,1,,1650,483.5,51,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,134,,1,,1750,1283.0999999999767,52,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,135,,1,,1850,1015.6999999999534,53,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
